Gas,"NFR/CRF Group",Source,Activity,Units,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Carbon Dioxide as Carbon",1A1b,"Refineries - combustion",Petrol,kilotonne,-,-,-,-,-,-,1.71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Carbon Dioxide as Carbon",1A1ci,"Coke production","Blast furnace gas",kilotonne,320.338499973548,280.406796094155,264.43018696512,259.896920838783,275.489028648391,275.098054202886,293.683139583364,291.273873669526,264.229615815989,290.29276493648,277.282676292961,182.023109013814,136.168283050784,112.918410217266,79.3784402208315,74.8656885729159,148.875796006705,197.959248986358,192.879019139596,151.156246187779,200.260484336432,178.27986832702,180.037383366694,200.557771791243,191.845258245623,172.194796337392,171.942521914665,152.827347524968,162.317481544703,152.961312832471,150.351301574189,136.626776390237,119.006381275774
"Carbon Dioxide as Carbon",1A1ci,"Coke production","Coke oven gas",kilotonne,238.247639588115,217.499532363763,188.990210663537,169.726319753298,175.01384037232,164.545281447419,198.422206899295,199.86268297262,228.504845960945,212.341910357253,222.249103366513,186.339183384776,168.955440670502,176.489274705039,170.663090522742,170.509832312134,168.984711800856,166.083952535182,164.244855973284,167.63765968164,157.959207568069,143.825645553418,145.476239760833,138.759730844922,140.031796256775,122.371573762418,60.0443838575879,57.2229773573008,55.919234615055,58.6275752994662,40.1188537261141,42.3765567849153,46.8335220296034
"Carbon Dioxide as Carbon",1A1ci,"Coke production","Colliery methane",kilotonne,1.70348861034985,1.70348861034985,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Carbon Dioxide as Carbon",1A1ci,"Coke production","Natural gas",kilotonne,0.628400812723956,0.581958219157457,0.64540483593782,0.724249090104085,0.946918109119445,0.549457764937134,1.15146318156859,0.752868821360364,0.352232250473436,0.65708128587273,0.855921914070305,0.453621137846647,-,0.0505152593361903,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Carbon Dioxide as Carbon",1A1ci,"Solid smokeless fuel production",Coke,kilotonne,-,-,-,-,-,-,-,14.9376907912453,22.5400175525905,17.1888469064223,31.2004613119887,26.1490007920334,13.6133316851884,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Carbon Dioxide as Carbon",1A1cii,"Upstream Oil Production - fuel combustion","Gas oil",kilotonne,408.257044415348,404.425089603982,484.779776627041,534.524478743829,566.70936455253,487.479021844571,504.525279073258,491.862087427832,492.238563818183,409.981764327274,368.757567114546,370.667809367727,376.999749441187,368.494302249589,342.724299953338,368.750201562285,328.168320117143,307.833571324052,357.771327590056,352.308463162286,389.546586450717,419.066855320181,487.419094477408,469.301892144617,486.823832882353,466.857004732208,467.700723451947,454.886043939752,420.105973568767,428.512766967289,415.625901716325,386.391119110565,323.576063512974
"Carbon Dioxide as Carbon",1A1cii,"Upstream Oil Production - fuel combustion","Natural gas",kilotonne,2132.69750637371,2070.82696433086,2236.82140773157,2347.05159447303,2422.37083444803,2462.64489126104,2434.04950975312,2658.43922878704,2776.18432636363,2863.51346959983,2800.03311588073,2794.14524955409,2712.40837550367,2652.62122093223,2526.24011810725,2381.07427746665,2315.77330636363,2267.62704545454,2145.63542223518,2082.35154561063,2025.51481927092,1748.87340036654,1594.44911969415,1457.37175912438,1424.5539869324,1604.41548870273,1619.33578174257,1640.39958267211,1699.58126691818,1784.40864235908,1714.09511248909,1477.75623054546,1420.75076103818
"Carbon Dioxide as Carbon",1A1cii,"Oil terminal: fuel combustion","Gas oil",kilotonne,43.8896067602928,42.3092877562955,43.3745398256569,45.9147562987489,58.2163055182712,59.4174497531933,59.3848763502125,58.7033796847206,60.5249454545453,62.4101930181818,54.6190385454547,69.2031381818184,49.0507090909091,30.0932132727272,26.8633194545454,25.0212951147389,24.5291544744869,26.2324896501289,22.9469415683373,27.1195548876876,23.6524863027758,24.0599313966038,20.6748280533205,33.4035893878361,38.8198850148851,29.1567740606091,11.0488682640224,21.8518649599571,7.62046242643358,5.28737841362808,3.3272745140612,15.5687471747018,3.71421696821103
"Carbon Dioxide as Carbon",1A1cii,"Oil terminal: fuel combustion","Natural gas",kilotonne,212.322432350218,196.734533019111,178.735069819147,175.359486578499,216.766747823207,256.267625547711,233.279969815117,325.453307217771,359.089295454547,340.190032745691,335.51813698091,353.551530900001,352.770287570876,345.640249090909,324.508691460001,323.539110763638,282.256635553023,293.597978181817,296.120978729291,306.201072550454,273.627728459657,235.378425569184,208.881477132084,202.022009549999,182.219762124545,203.376503271819,220.289974011818,219.67219807909,216.471322903637,201.972544063637,202.593393591818,180.908271182727,187.337784766363
